CONNECTION,TOTAL,ipV4,ipV6,TCP,UDP,ARP,ICMP,IGMP,CAST,INTERNAL,DOMESTIC,FOREIGN,HOSTILE
2603:6080:ce03:b91a:cd66:ff8a:22a3:974b-->>2607:f8b0:4004:811::2002,51,0,51,51,0,0,0,0,0,0,51,0,0
2607:f8b0:4004:829::200d-->>2603:6080:ce03:b91a:cd66:ff8a:22a3:974b,5,0,5,5,0,0,0,0,0,0,5,0,0
23.33.180.112-->>192.168.1.5,5,5,0,5,0,0,0,0,0,4,0,5,0
23.210.196.141-->>192.168.1.5,5,5,0,5,0,0,0,0,0,4,5,0,0
192.168.1.1-->>192.168.1.5,29,27,0,0,27,2,0,0,0,28,0,0,0
2607:f8b0:4004:82a::2002-->>2603:6080:ce03:b91a:cd66:ff8a:22a3:974b,22,0,22,22,0,0,0,0,0,0,22,0,0
2606:2800:220:de:468:2285:c1:4a3-->>2603:6080:ce03:b91a:cd66:ff8a:22a3:974b,11,0,11,11,0,0,0,0,0,0,11,0,0
2603:6080:ce03:b91a:cd66:ff8a:22a3:974b-->>2606:2800:220:de:468:2285:c1:4a3,9,0,9,9,0,0,0,0,0,0,9,0,0
2603:6080:ce03:b91a:cd66:ff8a:22a3:974b-->>2607:f8b0:4004:82a::2002,13,0,13,13,0,0,0,0,0,0,13,0,0
2603:6080:ce03:b91a:cd66:ff8a:22a3:974b-->>2607:f8b0:4004:809::2004,9,0,9,9,0,0,0,0,0,0,9,0,0
2607:f8b0:4004:809::2004-->>2603:6080:ce03:b91a:cd66:ff8a:22a3:974b,14,0,14,14,0,0,0,0,0,0,14,0,0
2603:6080:ce03:b91a:cd66:ff8a:22a3:974b-->>2606:4700:20::ac43:4455,4,0,4,4,0,0,0,0,0,0,4,0,0
2606:4700:20::ac43:4455-->>2603:6080:ce03:b91a:cd66:ff8a:22a3:974b,2,0,2,2,0,0,0,0,0,0,2,0,0
fe80::3649:5bff:fecd:fa1a-->>2603:6080:ce03:b91a:cd66:ff8a:22a3:974b,3,0,3,0,0,0,3,0,0,2,3,0,0
2603:6080:ce03:b91a:cd66:ff8a:22a3:974b-->>fe80::3649:5bff:fecd:fa1a,3,0,3,0,0,0,3,0,0,2,3,0,0
192.168.1.5-->>192.168.1.1,27,26,0,0,26,1,0,0,0,26,0,0,0
192.168.1.5-->>34.216.198.143,11,11,0,11,0,0,0,0,0,10,11,0,0
192.168.1.5-->>172.217.12.227,4,4,0,4,0,0,0,0,0,3,0,0,0
2603:6080:ce03:b91a:cd66:ff8a:22a3:974b-->>2607:f8b0:4004:82a::2003,25,0,25,25,0,0,0,0,0,0,25,0,0
2603:6080:ce03:b91a:cd66:ff8a:22a3:974b-->>2607:f8b0:4004:814::2003,2,0,2,2,0,0,0,0,0,0,2,0,0
34.216.198.143-->>192.168.1.5,10,10,0,10,0,0,0,0,0,9,10,0,0
172.217.12.227-->>192.168.1.5,3,3,0,3,0,0,0,0,0,2,0,0,0
2607:f8b0:4004:814::2003-->>2603:6080:ce03:b91a:cd66:ff8a:22a3:974b,2,0,2,2,0,0,0,0,0,0,2,0,0
